epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21047,1.09644,2.75113,1.47836,0.56598,0.85,0.84903,0.63234,1.65088,1.07617,1.38306,0,0,0
2,8.92634,1.16491,2.77836,1.47498,0.55715,0.85,0.88731,0.62032,1.66538,1.06462,1.38314,1.17822e-06,1.17822e-06,1.17822e-06
3,9.61124,1.09001,2.48725,1.21549,0.55849,0.85,0.8503,0.6164,1.67526,1.05069,1.38406,2.33288e-06,2.33288e-06,2.33288e-06
4,10.294,1.17021,2.76726,1.48615,0.55003,0.85,0.85731,0.62294,1.66472,1.04002,1.36689,3.46397e-06,3.46397e-06,3.46397e-06
5,10.9548,1.19821,2.3972,1.60826,0.54598,0.85,0.85871,0.62341,1.67396,1.04889,1.36668,4.5715e-06,4.5715e-06,4.5715e-06
6,11.6194,0.82089,1.83264,1.14089,0.55125,0.86027,0.85842,0.61404,1.66957,1.03703,1.3647,5.65548e-06,5.65548e-06,5.65548e-06
7,12.2722,1.40328,2.68942,1.75747,0.54377,0.86667,0.8608,0.62921,1.66434,1.05536,1.36448,6.71588e-06,6.71588e-06,6.71588e-06
8,12.9219,1.232,3.76974,1.6737,0.54769,0.87499,0.89757,0.61685,1.66385,1.05571,1.35839,7.75273e-06,7.75273e-06,7.75273e-06
9,13.5829,0.82506,2.75173,1.23527,0.55213,0.86667,0.89569,0.63297,1.6618,1.05708,1.35585,8.76602e-06,8.76602e-06,8.76602e-06
10,14.2519,1.02579,2.03,1.26033,0.63998,0.94906,0.91167,0.63607,1.6544,1.05619,1.35014,9.75574e-06,9.75574e-06,9.75574e-06
